       #     (8, 5)   #      (8, 6)   #      (8, 7)   #      (8, 8)	#
i	n	k	n	k	n	k	n	k
40	8	(8,8)	0	(8,8)	0	(8,8)	0	(8,8)
41	7	(8,7)	1	(8,1)	0	(8,8)	0	(8,8)
42	6	(8,6)	2	(8,2)	1	(8,1)	0	(8,8)
43	5	(8,5)	3	(8,3)	2	(8,2)	1	(8,1)
44	4	(8,4)	4	(8,4)	3	(8,3)	2	(8,2)
45	3	(8,3)	5	(8,5)	4	(8,4)	3	(8,3)
46	2	(8,2)	6	(8,6)	5	(8,5)	4	(8,4)
47	1	(8,1)	7	(8,7)	6	(8,6)	5	(8,5)
48	0	(8,0)	8	(8,8)	7	(8,7)	6	(8,6)
49	0	(8,0)	7	(8,7)	8	(8,8)	7	(8,7)
50	0	(8,0)	6	(8,6)	8	(8,8)	8	(8,8)
51	0	(8,0)	5	(8,5)	8	(8,8)	8	(8,8)
52	0	(8,0)	4	(8,4)	8	(8,8)	8	(8,8)
53	0	(8,0)	3	(8,3)	8	(8,8)	8	(8,8)
54	0	(8,0)	2	(8,2)	8	(8,8)	8	(8,8)
55	0	(8,0)	1	(8,1)	8	(8,8)	8	(8,8)
56	0	(8,0)	0	(8,0)	8	(8,8)	8	(8,8)
57	0	(8,0)	0	(8,0)	7	(8,7)	8	(8,8)
58	0	(8,0)	0	(8,0)	6	(8,6)	8	(8,8)
59	0	(8,0)	0	(8,0)	5	(8,5)	8	(8,8)
60	0	(8,0)	0	(8,0)	4	(8,4)	8	(8,8)
61	0	(8,0)	0	(8,0)	3	(8,3)	8	(8,8)
62	0	(8,0)	0	(8,0)	2	(8,2)	8	(8,8)
63	0	(8,0)	0	(8,0)	1	(8,1)	8	(8,8)
64	0	(8,0)	0	(8,0)	0	(8,0)	8	(8,8)
